WOD code,NODC code,Platform Name
867,18FO,AMBROSE FOOTE (M/V;built 1965)
1358,31AH,AMBROSE L/S
2351,3114,AMERICA
8764,74G2,AMERICA (STEAM SHIP Active date: 1890 to 1908)
4879,49M8,AMERICA MARU 
3085,32MM,AMERICAN ALTAIR (FORMERLY MORMAC)
2582,318K,AMERICAN ARGO (FORMERLY MORMAC)
1813,31M5,AMERICAN BAY (FORMERLY MORMAC)
2593,318V,AMERICAN CAPE (FORMERLY MORMAC)
3620,321W,AMERICAN CORSAIR
10043,31XX,AMERICAN DIVER (R/V; call sign WTY8659; built 1964; IMO7210721)
3680,323M,AMERICAN DRACO (FORMERLY MORMAC)
2640,3196,AMERICAN EXPLORER
2579,318H,AMERICAN LAKE (FORMERLY MORMAC)
2644,32AA,AMERICAN MAIL
2586,318O,AMERICAN PRIDE (FORMERLY MORMAC)
2369,312M,AMERICAN RESERVIST (FORMERLY MORMAC LYNX < 1983)
3090,32MR,AMERICAN RIGEL (FORMERLY MORMAC)
2601,3183,AMERICAN TRADE (FORMERLY MORMAC)
3094,32MV,AMERICAN VEGA (FORMERLY MORMAC)
3229,32QP,AMERICAN VETERAN (Call sign WEZT)
3404,32VO,AMERICAN VIKING (Call Sign WYX2824)
2659,32AP,AMETHYST
7026,904L,AMETIST (F/V; call sign UWFD; built 1950; Vladivostok)
2676,32A6,AMICK
2652,32AI,AMIGO
1846,31N2,AMMEN
4490,48AM,AMMIRAGLIO MAGNAHI
7326,35MP,AMPERE
5465,64AM,AMSTERDAM (HQDU2)
10562,18DL,AMUNDSEN (CCGS;call sign CGDT;b.1979;ex.Sir John Franklin 2003;IMO7510846)
7514,45AC,AN CAPPALL BAN (F/V) 
9223,90Y8,ANADIR
1055,20AA,ANAKENA
6307,90AS,ANASTAS
8790,65AB,ANCASH 2 (FISHING BOAT)
7132,907B,ANCHAR (F/V; call sign UNZA; built 1966; Kaliningrad)
2657,32AN,ANCHORAGE
8765,74G3,ANCHORIA (Active date: 1875 to 1932) 
6243,77NC,ANCYLUS (SDMR)
1065,20AN,ANDINO
4362,36AD,ANDIOPI
4054,35AN,ANDRE LOUIS
133,RCNI,ANDRE NIZERY 
4223,35NI,ANDRE NIZERY (FWQP)
6304,90AP,ANDREY PERVOZVANNY (R/V; built 1899; renamed Murman 1910)
6308,90AT,ANDREY VILKITSKY
9331,90KX,ANDRIANOV (Motor launch)!
6700,95AM,ANDRIJA MOHOROVICIC (YTDW)
6753,9014,ANDROMEDA
7515,68AN,ANDROMEDA (A5203; call sign CTHK; built 1985; Instituto Hidrografico)
1359,31AI,ANDROSCOGGIN 
6295,90AG,ANDRUS IOKHANI (F/V; call sign UVKL; built 1967; IMO6929313) 
2650,32AG,ANELA (TB)
4364,36AN,ANEMOS
5647,74AN,ANGLO NORSE
4067,35A1,ANGO (FNOM)
6245,77NT,ANHOLT
1185,26AK,ANHOLT KNOB L/V
10440,54CM,ANL BENALLA (Cont.s.;c.s.A8JM5;b.2006;ex.Pontremoli 07.2011;IMO9334519)
1054,18AV,ANN HARVEY (CCGS Light Icebreaker; call sign CGAH; built 1987;IMO8320468)
8909,58A5,ANNA
8106,54A2,ANNABELLA (ELCP4)
2624,319Q,ANNANDALE
793,18AO,ANNAPOLIS
1947,31QV,ANNAPOLIS
6176,77AC,ANNIE JOHNSON
130,RCAB,ANNO BON
149,SIAD,ANRO ASIA
525,09AH,ANRO AUSTRALIA
792,18AN,ANTAR
7644,77A2,ANTARCTIC
473,08AN,ANTARCTICA
1188,26AN,ANTARCTICA
2677,32A7,ANTARES
6320,90A7,ANTARES
32,CUAN,ANTARES
8651,14AT,ANTARES (Call Signal PWAN)
9332,RUAN,ANTARES (motor boat) 
10182,901Y,ANTARKTIKA (R/V;call sign ULDP;built 04.1957;renamed Bakuvi 1962;IMO6851736;Baku
7767,35A8,ANTEA (R/V;call sign FNUR;built 1995;IMO9128506)\0
785,18AG,ANTIGONISH
6525,90RF,ANTIYA (Trawler; call sign LYDO; built 01.1981; new call sign UBOW;IMO7941784)
1365,31AO,ANTON BRUUN
1354,31AD,ANTON DOHRN
187,06AD,ANTON DOHRN (R/V; call sign DBFO; service date 03/05/1955 - 07/26/1972)
248,06DA,ANTON DOHRN II (R/V;c.s. DBFR;active 10/17/1972-07/30/1986;ex.Walther Herwig I)
5491,64LH,ANTONI VAN LEEUWENHOEK
6909,LAAN,ANTONIA (Call sign YL2025; active 05.1992 - 11.2007) 
6177,77AD,ANTONIA JOHNSON
3606,321G,ANTRIM
4551,49AO,AOMORI-MARU
8910,58A6,AONARANT
5648,74AO,AORA (F/V;call sign 2JMN;built 1975;comm-d 1985;decomm-d 2003)
10275,61AO,AORAKI (R/V;b.1988;ex.Lobo 94;Sjovik 90;r-ed 12.2005;IMO8709951)
10627,14AP,APA (NPaOc;P121;c.s.PWAP;b.2010;ex.Scarborough 11.2012;IMO9526409)
4552,49AP,APOI MARU (Call sign JADW; built 02.1960)
9754,36A3,APOLLON (Small boat) 
1380,31A3,AQUALAB
2660,32AQ,AQUARIUS
5805,74GC,AQUILA
10622,18QQ,AQVIQ (F/V;call sign VOLT;built 1988;IMO8714566)
481,08CC,ARA CAPITAN CANEPA (1955 to 1972)
495,08GV,ARA GRANVILLE
8896,08LB,ARA LAPATAIA 
514,08TI,ARA SANTISIMA TRINIDAD (Comm-d 07.1981; decomm-d 1989; Argentine Navy)
7107,906H,ARAGATZ
7434,35D3,ARAGO (A795; call sign FYCV; comm-d 1991; decomm-d 2002)!
4493,48AR,ARAGONESE
10989,14AJ,ARAGUARI (NPaOc;P122;c.s.PWRI;comm-d 06.2013;ex.San Fernando;IMO9526411)Q
3972,34AR,ARANDA
3963,34AG,ARANSGRUND L/S
9524,89AR,ARAR (R/V; call sign TC5393; built 1951; IMO5021762) 
1066,20AR,ARAUCO II
7268,33AR,ARC
9174,64AB,ARCA (PDHT)(Built: 1998)1
3263,32RO,ARCO ANCHORAGE
3600,321A,ARCO FAIRBANK
2986,32JU,ARCO JUNEAU
6188,77AO,ARCONA
10114,3330,ARCTIC (Call sign WDF2734; built 2009; IMO9577745)
7168,18AW,ARCTIC IVIK
10423,90XX,ARCTICHECKY (Arctic data collected in 1972)
6756,67AR,ARCTOWSKI
3974,34AT,ARCTURUS
4044,35AD,ARDENT
8754,65AR,AREQUIPA 3 (FISHING BOAT)
8796,65AK,AREQUIPA 9 (FISHING BOAT)
140,SEAR,ARFANG
7383,06EG,ARGE ELBE (FIXED STATION)
7595,BHAR,ARGENTINA STAR (Container ship; call sign C6MD8)
1368,31AR,ARGO
9755,36A4,ARGO (Small boat)
3905,33AM,ARGO MAINE
6027,742D,ARGONAUT (F-56)
6191,77AR,ARGOS (R/V;call sign SEPI;comm-d 1974;decomm-d 2011;IMO7364156)
3566,320A,ARGOSY
6970,9062,ARGOUN
2664,32AU,ARGUS
5564,64AS,ARGUS
6316,90A3,ARGUS (R/V; call sign ESRL; built 1969;new c.s.UEZY;IMO7044548)
1657,31IT,ARGUS ISLAND 
11116,AGQ0,ARIAN (Cont.Ship;call sign V2FM3;b.2011;ex.Mell Seringat 12.2014;IMO9517434) 
207,06A2,ARIANA (DIDA)
6293,90AE,ARIEL
2268,31ZS,ARIES
5135,49ZG,ARIISO MARU
2454,314Z,ARIZONA STANDARD
2424,3135,ARKANSAS CGN-41(NARK)
10340,90NY,ARKHANGELSK (Steamship;built 1884;comm-d 1886;decomm-d 1888;White Sea data)
197,06AN,ARKONA BECKEN
6306,90AR,ARKTIKA
7406,26AR,ARKTIS VISION
799,18AX,ARLEUX (CGS;built 1918;comm-d 1922;renamed Gate Vessel 16 1939)
1373,31AW,ARLIS I (ARCTIC RESEARCH LABORATORY ICE STATION I)
1375,31AY,ARLIS II (ARCTIC RESEARCH LABORATORY ICE STATION II) 
5300,58AH,ARMAURR HANSEN
796,18AR,ARMENTIERES
2222,31YI,ARMINO
10366,351I,ARMORIQUE (Passenger ship;call sign FMLW;built 2009;IMO9364980)
1379,31A2,ARNEB
4457,46AN,ARNI FRIDRIKSSON (R/V;call sign TFJA;built 1967;sold 2001;IMO6710358)
10671,46AS,ARNI FRIDRIKSSON (R/V;call sign TFNA;built 04.2000;IMO9192404)
9744,ESAR,ARNO (Call sign ES2399)
6448,90LW,ARNOLD VEIMER
4059,35AS,ARRAS (Naval vessel; active 1918 - 1946)Q
25,CUAA,ARROYOS DE MANTUA
7739,URAR,ARSHINCEVO (ARSHINTSEVO; call sign ENEX)!
